station_no,lat,lng,gu,usage,nh3,co,no2,voc,pm10,time_type
76,36.36767,127.43636,daedeog-gu,2,0.196512821,2.705923077,3.655,31.45769231,7.894871795,2
78,36.36318,127.43128,daedeog-gu,4,0.147196262,1.71588785,1.72,2.700934579,1.140186916,2
194,36.30477,127.44931,jung-gu,1,0.2,1.645151515,0.58,12.21212121,940.1590909,2
79,36.36201,127.43554,daedeog-gu,2,0.147196262,1.71588785,1.72,2.700934579,1.140186916,2
48,36.34651,127.38513,seo-gu,97,0.18222,2.3334,2.88025,23.74146,49.65442,3
19,36.35136,127.38755,seo-gu,146,0.16509,1.86954,2.11489,14.38355,19.73349,3
44,36.35449,127.38281,seo-gu,142,0.13111,1.71667,2.6984,23.27292,15.53017,3
18,36.35111,127.38457,seo-gu,97,0.15781,1.90164,2.51378,19.57633,27.0036,3
218,36.31819,127.41697,jung-gu,30,0.20102,2.27997,1.9997,31.77816,60.07991,3
14,36.35553,127.37915,seo-gu,120,0.15558,2.03811,2.95,23.13112,20.40245,3
104,36.37521,127.37812,yuseong-gu,62,0.15237,1.77182,2.16057,18.60067,78.64403,3
47,36.34845,127.38278,seo-gu,44,0.1731,2.12579,2.57726,20.48299,16.47154,3
56,36.36174,127.34499,yuseong-gu,176,0.19879,2.1124,1.98345,19.32686,41.36556,3
8,36.36195,127.39043,seo-gu,85,0.20952,2.15873,2.64494,10.73733,28.09927,3
7,36.36205,127.3797,seo-gu,51,0.20146,2.44524,3.11691,17.7571,44.85392,3
108,36.33196,127.33793,yuseong-gu,135,0.14442,1.70901,1.88427,9.35226,2.71086,3
51,36.34861,127.39868,seo-gu,77,0.16942,2.2246,3.05547,21.29843,8.58025,3
45,36.35137,127.39831,seo-gu,45,0.19362,2.26193,2.95528,14.04647,10.53222,3
15,36.35542,127.39008,seo-gu,94,0.18847,2.29021,2.42468,19.16426,4.31666,3
1,36.37458,127.38613,yuseong-gu,50,0.18648,2.16203,2.3324,21.06052,44.29455,3
12,36.35793,127.38155,seo-gu,122,0.15348,2.03493,3.21948,26.9686,94.49172,3
107,36.37077,127.36665,yuseong-gu,108,0.13895,1.63742,2.88153,24.51613,235.26613,3
110,36.33757,127.39209,seo-gu,81,0.19539,2.46322,2.53127,26.07564,25.31813,3
4,36.36794,127.3793,seo-gu,89,0.13168,1.61022,3.06293,23.703,213.69106,3
59,36.35426,127.3415,yuseong-gu,122,0.17432,2.08958,2.31813,28.52798,27.03346,3
207,36.34353,127.44225,dong-gu,26,0.17424,1.87015,1.03111,0,32.75393,3
67,36.34491,127.33557,yuseong-gu,31,0.16702,1.86172,2.21529,30.64125,5.59566,3
32,36.35929,127.3545,yuseong-gu,113,0.17806,2.06803,2.16647,24.46295,30.53074,3
195,36.31018,127.40828,jung-gu,78,0.28018,3.21494,0.99027,33.44079,7.82527,3
105,36.36418,127.35885,yuseong-gu,50,0.20033,2.36212,2.34228,26.13721,14.65814,3
68,36.34187,127.34488,yuseong-gu,63,0.16514,1.85701,2.40134,30.48981,5.10316,3
63,36.34838,127.33577,yuseong-gu,27,0.16879,1.86895,2.1513,30.5099,4.98331,3
109,36.34238,127.38767,seo-gu,101,0.17357,2.28706,3.22917,26.17021,89.15664,3
35,36.35758,127.37206,seo-gu,58,0.17896,2.1351,2.62879,26.08937,55.09424,3
17,36.35208,127.37876,seo-gu,220,0.21047,2.3106,2.69261,15.87368,22.84072,3
33,36.35849,127.3612,seo-gu,130,0.12682,1.66133,3.01758,25.5881,481.09637,3
5,36.36497,127.38886,seo-gu,73,0.22459,2.28644,2.6778,-0.48079,7.3994,3
54,36.36503,127.33865,yuseong-gu,93,0.24146,2.17887,1.4716,25.50588,11.2175,3
202,36.32053,127.34401,seo-gu,29,0.17227,1.8701,2.14714,29.60757,14.49503,3
142,36.33154,127.42249,jung-gu,28,0.16539,1.83934,2.55941,30.92391,85.199,3
149,36.34571,127.33889,yuseong-gu,17,0.1667,1.86353,2.27187,30.45832,5.31737,3
153,36.32961,127.44245,dong-gu,60,0.13349,1.56057,1.67459,0,48.50605,3
43,36.35333,127.37441,seo-gu,75,0.18939,2.07378,2.2922,11.72652,569.48051,3
154,36.34798,127.41639,daedeog-gu,50,0.13447,1.62785,2.00441,13.89335,31.81759,3
198,36.31381,127.37964,seo-gu,23,0.22645,2.75143,1.58214,34.22228,6.32334,3
197,36.32018,127.37767,seo-gu,25,0.2514,3.1416,2.1208,33.42,16.28,3
203,36.36881,127.33689,yuseong-gu,50,0.30149,2.31289,0.93009,25.0614,5.25439,3
69,36.34279,127.33748,yuseong-gu,9,0.16684,1.86198,2.25154,30.58601,5.3924,3
224,36.30734,127.36403,seo-gu,18,0.30439,3.08908,1.29493,36.50518,27.97512,3
171,36.32361,127.42865,jung-gu,23,0.14537,1.66558,2.51072,28.31726,165.14913,3
40,36.35279,127.35605,seo-gu,11,0.1882,2.2669,3.07719,21.46353,52.00697,3
156,36.33596,127.4149,jung-gu,22,0.1654,1.85443,2.84057,31.34611,77.1337,3
